TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
57083.000000,0.990,-0.013,-0.174,-0.11,0.12,0.02,-42.35,-0.54,-25.50,-99.91,-0.81,97.13,0.422,0.571,-0.510,0.486
57093.000000,0.990,-0.015,-0.171,-0.01,0.06,-0.08,-42.08,-0.27,-25.00,-99.91,-0.81,97.13,0.422,0.571,-0.510,0.486
57103.000000,0.989,-0.013,-0.172,-0.05,0.10,-0.02,-42.50,-0.39,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57113.000000,0.986,-0.015,-0.171,0.07,0.12,-0.02,-42.43,-0.04,-25.42,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57123.000000,0.990,-0.012,-0.175,0.09,0.04,0.02,-42.31,-0.27,-25.08,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57133.000000,0.988,-0.017,-0.175,0.11,0.08,-0.04,-42.50,0.04,-24.75,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57143.000000,0.988,-0.015,-0.171,0.07,0.08,-0.08,-42.35,0.08,-24.79,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57153.000000,0.989,-0.016,-0.172,0.03,0.23,-0.00,-42.58,-0.31,-24.79,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57163.000000,0.988,-0.015,-0.171,-0.05,0.02,0.02,-41.35,0.89,-25.33,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57173.000000,0.988,-0.016,-0.171,0.09,0.16,0.08,-41.63,1.23,-25.17,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57183.000000,0.990,-0.012,-0.171,0.05,0.16,-0.04,-41.35,0.85,-25.63,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57193.000000,0.988,-0.012,-0.172,0.01,0.00,0.02,-41.35,1.27,-25.54,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57203.000000,0.988,-0.015,-0.170,0.07,0.23,0.10,-41.48,1.04,-25.54,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57213.000000,0.989,-0.015,-0.174,0.09,0.02,0.02,-41.89,0.67,-25.21,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
